ID,type,address,city,postcode,lat,lon,rentNet,rentGross,livingSpace,arePetsAllowed,hasFlatSharingCommunity,isUnderRoof,CHF/m2,title,numberOfRooms,floor,yearBuilt,isNewBuilding,yearLastRenovated,hasGarage,hasParking,hasRamp,isWheelchairAccessible,isOldBuilding,hasSwimmingPool,hasFireplace,isCornerHouse,isMiddleHouse,hasGardenShed,hasLiftingPlatform,hasBalcony,hasCableTv,isGroundFloorRaised,hasNiceView,hasConnectedBuildingLand,hasElevator,isChildFriendly,distanceHighSchool,distanceKindergarten,distancePrimarySchool,distanceMotorway,distancePublicTransport,personId,additionalCosts,additionalCosts/m2,canton
4001117570,"APARTMENT, FLAT",Ch. des Tenevières 13,Estavayer-le-Lac,1470,46.849611781972,6.842562311603,1300.0,1525.0,82.0,True,,True,18.6,Appartement de 4.5 pièces rénové,4.5,0.0,1972.0,,2012.0,,True,,,True,,,,,,,True,True,,,,,,1000.0,300.0,300.0,,1000.0,679,225.0,2.7439024390243905,FR
4001100928,"APARTMENT, FLAT",Reherstr. 24,St. Gallen,9016,47.437451781971,9.418662311601,1420.0,1710.0,91.0,True,,,18.79,Wohnen ohne Kaution in gepflegter und schöner Umgebung!,4.5,5.0,1979.0,,2005.0,True,True,,,True,,,,,,,True,True,,,,True,True,2000.0,1000.0,800.0,,150.0,679,290.0,3.1868131868131866,SG
4001115482,"APARTMENT, FLAT",Croix Fédérale 44,La Chaux-de-Fonds,2300,47.105581781972,6.842882311604,1100.0,1330.0,83.0,True,,True,16.02,Location avec caution gratuite,4.5,4.0,1972.0,,2012.0,,,,,,,,,,,,True,True,,,,True,True,1500.0,,1500.0,,120.0,679,230.0,2.7710843373493974,NE
4001095763,"APARTMENT, ATTIC_FLAT",Kronenstr. 25,Zürich,8006,47.387401781971,8.537192311608,2990.0,3210.0,68.0,True,,True,47.21,Mieten ohne Kaution - Lichtdurchflutete Attikawohnung,2.5,4.0,1968.0,,2012.0,True,True,,,True,,,True,,,,True,True,,True,,True,True,200.0,200.0,200.0,,50.0,679,220.0,3.235294117647059,ZH
4001099153,"APARTMENT, FLAT",Lettenstr. 17,Wil SG,9500,47.469841781979,9.041732311609,1080.0,1280.0,66.0,True,,,19.39,Wohnen ohne Kaution - Liegenschaft in beliebtem Wohnquartier!,3.0,0.0,1961.0,,1996.0,True,True,,,True,,,True,,,,True,True,,True,,,True,200.0,200.0,500.0,,700.0,679,200.0,3.0303030303030303,TG
4001104235,"APARTMENT, FLAT",Stadtbühlstr. 4,Gossau SG,9200,47.412151781973,9.252032311605,1617.0,1867.0,98.0,,,,19.05,Geniales Wohnen an bevorzugter Stadtlage mit ÖV-Anschluss!,4.5,3.0,2008.0,,,True,,True,,,,,,,,,True,True,,,,True,True,100.0,100.0,200.0,,10.0,679,250.0,2.5510204081632653,SG
4001120347,"APARTMENT, FLAT",Croix-Fédérale 27C,La Chaux-de-Fonds,2300,47.107411781976,6.842972311605,1130.0,1450.0,89.0,True,,,16.29,Location avec caution gratuite,4.0,0.0,1973.0,,2012.0,True,,,,,,,,,,,True,True,,True,,True,True,1600.0,,1600.0,,300.0,679,320.0,3.595505617977528,NE
4001099150,"APARTMENT, FLAT",Via Albano 7,Massagno,6900,46.009931781975,8.939842311608,1339.0,1589.0,95.0,True,,,16.73,4.5 locali in palazzina di soli 3 appartamenti,4.5,0.0,1988.0,,,True,True,,,True,,,,,,,,True,,,,,,600.0,300.0,600.0,,80.0,679,250.0,2.6315789473684212,TI
4001133400,"APARTMENT, ATTIC_FLAT",Vonwilstrasse 51,St. Gallen,9000,47.419491781971,9.355372311603,2105.0,2505.0,148.0,,,,16.93,Wohntraum über den Dächern der Stadt,4.5,8.0,1957.0,,1985.0,,,,,,,,,,,,True,,,,,,,,,,,,5007119,400.0,2.7027027027027026,SG
4001131018,"APARTMENT, DUPLEX",Auweg 55,Sissach,4450,47.470721781971,7.800992311601,2170.0,2470.0,105.0,True,,,23.52,Nicht nur wohnen sondern wohlfühlen!,4.5,0.0,2008.0,,,,,,,,,,,,,,,,,,,,,1000.0,10.0,1000.0,,30.0,679,300.0,2.857142857142857,BL
4001136088,"APARTMENT, FLAT",Neumattweg 9,Lyss,3250,47.078861781972,7.306952311605,1216.0,1416.0,65.0,True,,,21.78,Ihr neues Zuhause in Lyss - ruhig und doch zentral,3.5,3.0,1963.0,,2004.0,True,True,,,True,,,,,,,True,True,,,,,True,,,,,,679,200.0,3.076923076923077,BE
4001136087,"APARTMENT, FLAT",Neumattweg 9,Lyss,3250,47.078861781972,7.306952311605,1264.0,1464.0,65.0,True,,,22.52,Hier blüht das Leben!,3.5,2.0,1963.0,,2004.0,True,True,,,True,,,,,,,,True,,,,,True,,,,,,679,200.0,3.076923076923077,BE
4001136085,"APARTMENT, FLAT",Auweg 51,Sissach,4450,47.470521781974,7.801282311603,1640.0,1930.0,97.0,True,,,19.9,"MIETEN OHNE KAUTION - Verliebt, verlobt.. vermietet?",4.5,2.0,2008.0,,,,,,,,,,,,,,True,,,,,,,1000.0,10.0,1000.0,,30.0,679,290.0,2.9896907216494846,BL
4001141831,"APARTMENT, FLAT",Via ceresio 55,Pregassona,6963,46.023081781976,8.967412311603,1107.0,1222.0,49.0,True,,,24.94,Comodo appartamento di 2.5 locali a Pregassona - cercasi subentrante,2.5,3.0,,,,True,True,,,,,,,,,,True,,,,,True,True,,,,,,679,115.0,2.3469387755102042,TI
4001139795,"APARTMENT, FLAT",Allmendstr. 3C,Thun,3600,46.759511781973,7.624132311601,1691.0,1996.0,89.0,True,,,22.43,Wohnen im Herzen von Thun,3.5,2.0,2014.0,,,True,,True,,,,,,,,,True,True,,,,True,,1000.0,300.0,1000.0,,1.0,679,305.0,3.4269662921348316,BE
4001129590,"APARTMENT, FLAT",Haltingerstrasse 81,Basel,4057,47.566461781979,7.596082311601,1230.0,1460.0,65.0,,,,22.46,Wohnen an zentraler Lage!,3.0,4.0,1956.0,,1996.0,,,,,,,,,,,,,,,,,,,,,,,,679,230.0,3.5384615384615383,BS
4001131037,"APARTMENT, FLAT",Am Mattenhof 2a,Kriens,6010,47.027741781977,8.301462311601,1770.0,1940.0,59.0,True,,,32.88,Wohnen im MATTEO -  Singles aufgepasst!,2.5,13.0,2018.0,True,,,,,,,,,,,,,,True,,,,,True,,,,,,679,170.0,2.8813559322033897,NW
4001141837,"APARTMENT, FLAT",Henric Petri-Strasse 11,Basel,4051,47.552301781973,7.592262311607,1900.0,2080.0,64.0,,,,32.5,Schöne Wohnung in Zentraler Lage!,2.5,3.0,2010.0,,,,,,,,,,,,,,,,,,,,,,,,,,679,180.0,2.8125,BS
4001133134,"APARTMENT, FLAT",Avenue de la Feuillasse 1,Meyrin,1217,46.229151781977,6.083302311607,1739.0,1839.0,54.0,,,,34.06,Apparetement de 3 piéces à Meyrin,3.0,2.0,1970.0,,,,,,,,,,,,,,,,,,,,,,,,,,679,100.0,1.8518518518518519,GE
4001134109,"APARTMENT, FLAT",Luegislandstr. 56,Zürich,8051,47.406091781971,8.567242311603,1600.0,1849.0,65.0,True,,,28.45,Wohnen mit Aussicht,3.0,0.0,1967.0,,,True,True,,,True,,,,,,,True,True,,,,True,True,800.0,800.0,500.0,,350.0,679,249.0,3.830769230769231,ZH
4001134107,"APARTMENT, FLAT",Eichenstrasse 1,Menziken,5737,47.244841781978,8.181102311604,1550.0,1736.0,117.0,,,,14.84,Hier fühlen Sie sich wohl!,4.5,1.0,1992.0,,,,,,,,,,,,,,,,,,,,,,,,,,679,186.0,1.5897435897435896,AG
